Eind,Bloemendaalse polder,De Dintel,De Halse Vliet,Den Biggelaar,Endekweek,Geluk,Goudbloem,Haagse Beemden,Heerjansland/Zellebergen,Hoge Vucht,Hogediep,Laakdijk/Schuivenoord,Leurschans,Oude Prinslandse Polder,Rooskensdonk/Kraaiennest,Tonnekreek,Triangelpolder/Kruisland,Visvliet,Vuchtpolder,Westpolder,Willemspolder,Zonzeel,Zwartenbergse polder
2016-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-15,0.0,0.0025,0.0106,0.0002,0.0002,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0,0.0,0.0,0.0081,0.0023,0.0,0.0156
2016-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-20,0.0693,0.0217,0.0803,0.0079,0.0031,0.0,0.0619,0.0257,0.0782,0.0,0.0,0.1365,0.0,0.0052,0.1783,0.0661,0.0006,0.0,0.0111,0.0033,0.0,0.2001,0.001
2016-03-21,0.8461,0.9869,0.6217,0.9786,0.9425,0.8149,0.539,0.3327,0.9287,0.5927,0.9393,0.4614,0.6652,0.8597,0.3365,1.0515,0.7124,0.5679,0.5215,1.0579,0.5263,0.4926,0.9975
2016-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-23,0.0039,0.0,0.0,0.0,0.0001,0.0,0.0349,0.0,0.0075,0.0,0.0,0.0,0.0,0.0023,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-24,0.0579,0.0,0.2827,0.1815,0.0772,0.0,0.0,0.3325,0.018000000000000002,0.4571,0.0,0.2506,0.0,0.0,0.3751,0.0347,0.0175,0.0,0.22899999999999998,0.1213,0.0,0.1023,0.3273
2016-03-25,8.8385,8.8709,11.7535,9.6026,8.9535,8.0423,8.729,10.2597,8.442,8.9854,6.8448,9.8254,6.7096,8.2923,10.413,9.282,7.1164,7.282999999999999,9.5064,10.4703,8.4877,9.9407,11.2198
2016-03-26,0.0085,0.0292,0.2048,0.033,0.1549,0.0031,0.0318,0.0869,0.068,0.0049,0.0,0.0387,0.0,0.0188,0.1462,0.0,0.0,0.0,0.0049,0.1375,0.0766,0.0021,0.1646
2016-03-27,9.1912,9.4323,9.5169,10.0389,9.2216,9.4503,9.0455,8.4867,8.996,8.1425,9.5573,8.9072,9.052999999999999,9.3386,9.7647,9.3248,9.0123,9.3998,8.1761,9.4679,9.5117,9.6291,9.7042
2016-03-28,4.4481,3.8752,6.0035,4.9894,4.1818,3.748,3.8856,7.6343,3.8405,9.0006,3.4237,6.888,3.4529,3.5735,6.2752,4.1493,3.6063,3.6346,8.4982,5.0252,3.5431,5.9558,5.2719
2016-03-29,4.2732,4.3497,4.2589,3.733,3.3869,3.7261,3.3009,3.8898,3.1103,3.2357,3.4477,3.323,4.2562,4.0428,4.1581,4.3282,2.6276,3.6562,4.2811,3.7987,3.8825,3.3416,4.1832
2016-03-30,0.0,0.0,0.0159,0.0,0.0005,0.0,0.0,0.0548,0.0007,0.0994,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0436,0.0147,0.0,0.0001,0.0003
2016-03-31,0.2689,1.0090000000000001,0.3213,0.0734,0.0451,0.4372,0.0513,0.6546,0.5033,0.4341,0.2015,0.4909,0.3261,0.9494,0.4927,1.3145,0.7039,0.4171,0.6662,0.1678,1.5213,0.2381,0.1493
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-02,0.2399,0.4617,0.1319,0.1333,0.2214,0.5634,0.2847,0.1265,0.3743,0.1594,0.6062,0.1385,0.5238,0.4868,0.1199,0.3985,0.4827,0.5625,0.1349,0.2008,0.5021,0.133,0.1467
2016-04-03,3.1029,2.9319,3.8134,3.6126,2.7241,2.4567,2.9905,4.5663,3.4745,5.3626,2.9629,5.7423,2.9512,1.9314,4.1101,3.2791,2.1748,2.9105,6.3864,3.2032,1.9871,4.7311,3.5371
2016-04-04,2.6885,2.2002,3.4173,3.57,2.9288,1.5184,2.3162,4.2496,1.964,5.724,1.1612,4.8773,1.1756,2.0988,4.1237,2.3903,1.9563,1.1561,5.4674,3.4748,2.249,3.6273,3.5711
2016-04-05,0.1057,0.0344,1.2709,0.6991,0.3720000000000001,0.1629,0.1417,2.2776,0.0858,2.5945,0.0643,1.7155,0.0902,0.0425,1.6856,0.0555,0.0702,0.0552,2.3957,0.8133,0.0173,1.0718,0.8526
2016-04-06,4.8238,4.5837,7.3436,5.4739,5.2749,3.7243,4.6752,6.9812,4.4707,4.45,3.5854,6.0705,4.5844,4.7023,7.0618,5.0447,3.5937,4.0429,6.1235,6.8945,4.5972,5.2246,6.6708
2016-04-07,0.8821,0.9475,1.0773,1.2031,1.3215,0.7583,2.1581,0.6762,1.3832,0.4467,0.1,0.9078,0.1926,0.5496,0.7539,1.3026,0.4069,0.2891,0.7564,1.0101,0.9112,0.4821,1.3288
2016-04-08,0.1918,0.1236,0.2847,0.5265,0.0216,0.0,0.0,1.0517,0.0032,1.8857,0.0083,1.8888,0.0,0.0,0.7041,0.3637,0.0027,0.0,1.2909,0.2,0.0,1.0556,0.0132
2016-04-09,1.0182,1.632,0.3817,0.4193,0.9106,1.3966,1.2741,0.0892,1.6965,0.0386,1.4786,0.0482,1.3685,1.6477,0.1227,1.4329,1.5490000000000002,1.3597,0.0246,0.6498,1.6617,0.0906,0.4889
2016-04-10,2.0441,1.6673,2.2967,2.2223,1.8607,1.1983,1.9828,1.9676,1.7813,1.8889,1.0619,1.9547,1.0458,1.4364,2.1918,1.8581,1.2576,1.0357,1.8485,2.1201,1.5130000000000001,2.205,2.1886
2016-04-11,0.2984,0.9102,0.373,0.3714,0.2588,1.0806,0.3674,0.557,0.7358,0.7891,0.9714,0.7729,0.8847,0.9853,0.5472,0.5458,0.9387,1.052,0.7973,0.2858,1.0333,0.6975,0.3393
2016-04-12,1.0247,3.3385,0.7328,0.5025,0.597,6.1949,0.8972,1.5487,1.94,2.3424,4.2574,1.6288,5.1944,3.3904,1.2526,3.0262,2.4529,5.4601,2.2017,0.5255,3.4610000000000003,1.6592,0.4579
2016-04-13,0.9388,1.4087,5.3596,4.1068,0.5403,0.0,1.0117,3.1297,2.8294,2.1946,0.0,7.2487,0.0,0.0635,12.837,0.8541,0.0,0.0,1.7281,0.8854,0.0272,10.3315,3.4987
2016-04-14,0.8270000000000001,2.7322,0.7685,0.7656,1.3168,3.7656,1.0051,0.0744,2.1116,0.0039,3.991,0.2249,4.4362,3.7173,0.2938,2.2766,3.7485,4.256,0.0246,1.3367,3.3783,0.392,0.9828
2016-04-15,11.5108,12.77,11.9239,12.1391,10.5357,14.1357,10.6581,14.2578,10.6488,15.5023,13.4741,12.857999999999999,12.5645,11.4816,11.9314,12.7581,10.6812,14.1331,14.5612,11.538,12.3309,12.2729,11.5538
2016-04-16,0.7762,0.7396,0.5077,1.1229,0.4269,0.6386,0.5101,0.2462,0.8125,0.3223,0.9409,1.1902,1.0456,0.8418,1.1574,0.7205,0.8624,0.7464,0.3196,0.3913,0.6042,0.8764,0.838
2016-04-17,0.2736,0.54,0.4242,0.6352,0.2493,0.4726,0.1255,2.0754,0.6066,2.1163,0.0198,2.0222,0.0924,0.5132,2.5696,0.1362,0.209,0.0035,1.9672,0.6519,0.9442,2.6222,0.4512
2016-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
